text,true_emotion,predicted_emotion
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,fear
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,sadness
Eat my ass' is no longer an insult,anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger
Just seeing Alex revells face gets me angry,anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
Literally fuming fuck sake,anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,anger
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger,anger
@LeonWobYP b***er off. NCFC is a grudge match :),anger,anger
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear
